date,ticker,open,high,low,close
03/31/2022 00:00:00,NFLX,391.60,396.50,329.82,374.59
02/28/2022 00:00:00,NFLX,432.96,458.48,354.72,394.52
01/31/2022 00:00:00,NFLX,605.61,609.99,351.46,427.14
12/31/2021 00:00:00,NFLX,649.48,654.52,581.74,602.44
11/30/2021 00:00:00,NFLX,689.06,700.99,640.01,641.90
10/31/2021 00:00:00,NFLX,604.24,690.97,594.68,690.31
09/30/2021 00:00:00,NFLX,569.00,619.00,568.08,610.34
08/31/2021 00:00:00,NFLX,519.00,569.48,505.37,569.19
07/31/2021 00:00:00,NFLX,525.72,557.54,504.66,517.57
06/30/2021 00:00:00,NFLX,504.01,536.13,482.14,528.21
05/31/2021 00:00:00,NFLX,512.65,518.95,478.54,502.81
04/30/2021 00:00:00,NFLX,529.93,563.56,499.00,513.47
03/31/2021 00:00:00,NFLX,545.57,556.99,492.85,521.66
02/28/2021 00:00:00,NFLX,536.79,566.65,518.28,538.85
01/31/2021 00:00:00,NFLX,539.00,593.29,485.67,532.39
12/31/2020 00:00:00,NFLX,492.34,545.50,491.29,540.73
11/30/2020 00:00:00,NFLX,478.87,518.73,463.41,490.70
10/31/2020 00:00:00,NFLX,506.03,572.49,472.21,475.74
09/30/2020 00:00:00,NFLX,532.60,557.39,458.60,500.03
08/31/2020 00:00:00,NFLX,490.86,549.04,466.55,529.56
07/31/2020 00:00:00,NFLX,454.00,575.37,454.00,488.88
06/30/2020 00:00:00,NFLX,418.83,474.01,404.25,455.04
05/31/2020 00:00:00,NFLX,415.10,458.97,397.86,419.73
04/30/2020 00:00:00,NFLX,376.05,449.52,357.51,419.85
03/31/2020 00:00:00,NFLX,373.11,393.52,290.25,375.50
02/29/2020 00:00:00,NFLX,347.24,392.95,346.28,369.03
01/31/2020 00:00:00,NFLX,326.10,359.85,321.20,345.09
